Input file,Event Number,Species Code,Call,Start time,End time,Parameter 1,Parameter 2,Parameter 3,Parameter 4,Parameter 5,Parameter 6,Comments,Image,Audio
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 10:30,UF,Other,7/1/2022 3:35:05,7/1/2022 4:42:30,,,,,,,Bocaccio sunset,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 10:30,UF,Other,7/1/2022 4:32:35,7/1/2022 11:40:55,,,,,,,Midshipman,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 10:31,UF,Other,7/2/2022 3:37:06,7/2/2022 4:48:31,,,,,,,Bocaccio sunset,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 10:31,UF,Other,7/2/2022 4:44:31,7/2/2022 11:17:14,,,,,,,Midshipman,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 10:51,UF,Other,7/2/2022 11:07:19,7/2/2022 12:22:39,,,,,,,Bocaccio sunrise,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:39,UF,Other,7/3/2022 3:30:06,7/3/2022 3:30:07,,,,,,,Bocaccio sunset,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:40,UF,Other,7/3/2022 11:06:34,7/3/2022 12:24:35,,,,,,,Bocaccio sunrise,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:40,UF,Other,7/3/2022 3:30:07,7/3/2022 12:34:05,,,,,,,Bocaccio,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:40,UF,Other,7/3/2022 4:21:27,7/3/2022 11:16:05,,,,,,,Midshipman,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:50,UF,Other,7/4/2022 3:30:09,7/4/2022 4:40:29,,,,,,,Bocaccio sunset,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:50,UF,Other,7/4/2022 4:23:24,7/4/2022 11:21:52,,,,,,,Midshipman,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:50,UF,Other,7/4/2022 11:14:17,7/4/2022 12:26:32,,,,,,,Bocaccio sunrise,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:51,UF,Other,7/5/2022 3:16:46,7/5/2022 4:36:41,,,,,,,Bocaccio sunset,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:51,UF,Other,7/5/2022 4:17:41,7/5/2022 11:19:53,,,,,,,Midshipman,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:53,UF,Other,7/4/2022 3:33:59,7/4/2022 12:30:22,,,,,,,Bocaccio,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:54,UF,Other,7/6/2022 3:20:37,7/6/2022 4:38:37,,,,,,,Bocaccio sunset,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:54,UF,Other,7/6/2022 4:04:22,7/6/2022 11:40:50,,,,,,,Midshipman,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:54,UF,Other,7/7/2022 3:22:34,7/7/2022 4:32:54,,,,,,,Bocaccio sunset,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:54,UF,Other,7/7/2022 4:11:59,7/7/2022 11:50:22,,,,,,,Midshipman,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:55,UF,Other,7/7/2022 2:48:21,7/7/2022 3:24:24,,,,,,,Off Effort,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:56,UF,Other,7/7/2022 11:29:27,7/7/2022 12:37:57,,,,,,,Bocaccio sunrise,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:57,UF,Other,7/7/2022 3:24:24,7/7/2022 12:37:57,,,,,,,Bocaccio,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:57,UF,Other,7/8/2022 3:09:11,7/8/2022 4:21:26,,,,,,,Bocaccio sunset,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:57,UF,Other,7/8/2022 4:17:41,7/8/2022 12:15:05,,,,,,,Midshipman,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 11:58,UF,Other,7/8/2022 3:07:16,7/8/2022 12:09:25,,,,,,,Bocaccio,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 13:09,UF,Other,7/8/2022 11:23:45,7/8/2022 12:13:10,,,,,,,Bocaccio sunrise,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 13:09,UF,Other,7/9/2022 2:57:51,7/9/2022 4:23:24,,,,,,,Bocaccio sunset,,
J:\MB02_11\MB02_11_df24\LTSA_MB02_11_df24_5s_1Hz.ltsa,8/7/2024 13:09,UF,Other,7/9/2022 4:10:04,7/9/2022 11:56:06,,,,,,,Midshipman,,
